CUSTOM.date [UTC],OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.hSpeed [m/s],OSD.vSpeed [m/s],OSD.pitch [deg],OSD.roll [deg],OSD.yaw [deg],OSD.gpsNum,BATTERY.voltage [V],BATTERY.current [A],BATTERY.percentage,FLY_STATE.flightMode
2026-08-20 04:30:00,0.0,35.155500,128.099100,0.0,42.0,0.0,0.0,0.0,0.0,180.0,17,15.8,0.5,98,P-GPS
2026-08-20 04:30:05,5.0,35.155450,128.099050,4.2,46.2,2.1,0.8,3.5,-1.2,185.0,18,15.6,8.2,97,P-GPS
2026-08-20 04:30:10,10.0,35.155380,128.098980,10.5,52.5,4.5,1.2,5.8,-2.0,190.0,18,15.4,12.4,96,P-GPS
2026-08-20 04:30:15,15.0,35.155280,128.098900,16.8,58.8,6.2,1.2,6.2,-1.5,192.0,19,15.3,14.1,95,P-GPS
2026-08-20 04:30:20,20.0,35.155150,128.098820,22.0,64.0,7.8,1.0,7.1,-0.8,195.0,19,15.2,15.3,94,P-GPS
2026-08-20 04:30:25,25.0,35.155010,128.098750,26.5,68.5,8.5,0.9,7.5,-0.5,198.0,19,15.1,16.0,93,P-GPS
2026-08-20 04:30:30,30.0,35.154860,128.098690,29.0,71.0,9.0,0.5,6.8,-1.1,200.0,19,15.0,16.5,92,P-GPS
2026-08-20 04:30:35,35.0,35.154700,128.098640,30.5,72.5,9.2,0.3,6.2,-1.4,202.0,19,14.9,16.8,91,P-GPS
2026-08-20 04:30:40,40.0,35.154550,128.098600,31.2,73.2,9.4,0.1,5.5,-1.8,205.0,19,14.8,17.0,90,P-GPS
2026-08-20 04:30:45,45.0,35.154420,128.098560,31.8,73.8,9.1,0.1,4.8,-2.0,210.0,19,14.8,16.9,89,P-GPS
2026-08-20 04:30:50,50.0,35.154320,128.098520,32.0,74.0,8.6,0.0,3.9,-2.4,215.0,19,14.7,16.5,88,P-GPS
2026-08-20 04:30:55,55.0,35.154250,128.098480,32.2,74.2,7.8,-0.1,3.0,-2.8,220.0,19,14.6,16.0,87,P-GPS
2026-08-20 04:31:00,60.0,35.154220,128.098450,32.0,74.0,6.5,-0.2,2.1,-3.2,230.0,19,14.6,15.4,86,P-GPS
2026-08-20 04:31:05,65.0,35.154230,128.098380,31.5,73.5,5.8,-0.3,1.5,-3.8,245.0,18,14.5,14.9,85,P-GPS
2026-08-20 04:31:10,70.0,35.154280,128.098280,30.8,72.8,6.2,-0.4,2.0,-3.5,260.0,18,14.4,15.2,84,P-GPS
2026-08-20 04:31:15,75.0,35.154360,128.098150,30.0,72.0,7.0,-0.3,3.2,-2.6,280.0,18,14.4,15.8,83,P-GPS
2026-08-20 04:31:20,80.0,35.154480,128.098020,29.2,71.2,7.9,-0.2,4.5,-1.9,295.0,18,14.3,16.2,82,P-GPS
2026-08-20 04:31:25,85.0,35.154620,128.097880,28.5,70.5,8.4,-0.2,5.2,-1.4,310.0,18,14.2,16.6,81,P-GPS
2026-08-20 04:31:30,90.0,35.154790,128.097750,27.6,69.6,8.8,-0.3,5.8,-0.9,320.0,18,14.2,16.9,80,P-GPS
2026-08-20 04:31:35,95.0,35.154980,128.097620,26.4,68.4,9.0,-0.4,6.1,-0.5,330.0,18,14.1,17.1,79,P-GPS
2026-08-20 04:31:40,100.0,35.155180,128.097500,24.8,66.8,8.8,-0.6,5.8,-0.2,338.0,18,14.0,16.7,78,P-GPS
2026-08-20 04:31:45,105.0,35.155380,128.097400,22.5,64.5,8.2,-0.8,5.1,0.2,345.0,18,14.0,16.1,77,P-GPS
2026-08-20 04:31:50,110.0,35.155560,128.097320,19.8,61.8,7.3,-1.0,4.2,0.6,350.0,18,13.9,15.3,76,P-GPS
2026-08-20 04:31:55,115.0,35.155720,128.097250,16.5,58.5,6.1,-1.2,3.1,0.9,355.0,17,13.8,14.2,75,P-GPS
2026-08-20 04:32:00,120.0,35.155850,128.097200,12.8,54.8,4.8,-1.3,2.0,1.2,0.0,17,13.8,12.8,74,P-GPS
2026-08-20 04:32:05,125.0,35.155940,128.097150,8.5,50.5,3.2,-1.4,1.1,0.8,3.0,17,13.7,10.9,73,Auto-Landing
2026-08-20 04:32:10,130.0,35.156000,128.097100,4.2,46.2,1.5,-1.1,0.5,0.4,5.0,17,13.7,8.4,72,Auto-Landing
2026-08-20 04:32:15,135.0,35.156020,128.097080,1.0,43.0,0.4,-0.8,0.2,0.1,5.0,17,13.6,5.1,71,Auto-Landing
2026-08-20 04:32:20,140.0,35.156030,128.097070,0.0,42.0,0.0,0.0,0.0,0.0,5.0,17,13.6,0.6,70,Disarmed
